family,size,algo,mincut,time,success
random_weighted_graph,10,contract,30,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,93,100,0
random_weighted_graph,10,contract,67,100,0
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,57,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,30,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,42,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,49,100,0
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,58,100,0
random_weighted_graph,10,contract,49,100,0
random_weighted_graph,10,contract,72,100,0
random_weighted_graph,10,contract,71,100,0
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,54,100,0
random_weighted_graph,10,contract,63,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,42,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,57,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,30,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,69,100,0
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,68,100,0
random_weighted_graph,10,contract,27,100,0
random_weighted_graph,10,contract,41,100,0
random_weighted_graph,10,contract,31,100,0
random_weighted_graph,10,contract,68,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,29,100,0
random_weighted_graph,10,contract,41,100,0
random_weighted_graph,10,contract,33,100,0
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
random_weighted_graph,10,contract,22,100,1
